column,column_silver,qid,qname_base,match_method,sub_item,question,parent_question,qtype,selector,force_resp,is_multiselect,value_kind,n_answered,pct_answered,n_distinct,n_options,options,notes
ResponseId,ResponseId,,,unmatched,,,,,,,N,numeric,65437,100.0,65437,65437,,"응답자 고유 식별자. 설문 문항 아님(SO 부여). 순차 정수, 중복 없음."
MainBranch,MainBranch,QID2,MainBranch,exact,,"Which of the following options best describes you today? For the purpose of this survey, a developer is ""someone who writes code"".*",,MC,SAVR,TRUE,N,categorical,65437,100.0,5,5,"[""I am a developer by profession"", ""I am not primarily a developer, but I write code sometimes as part of my work/studies"", ""I am learning to code"", ""I code primarily as a hobby"", ""I used to be a developer by profession, but no longer am""]",
Age,Age,QID127,Age,exact,,What is your age?*,,MC,SAVR,TRUE,N,categorical,65437,100.0,8,8,"[""25-34 years old"", ""35-44 years old"", ""18-24 years old"", ""45-54 years old"", ""55-64 years old"", ""Under 18 years old"", ""65 years or older"", ""Prefer not to say""]",
Employment,Employment,QID296,Employment,exact,,Which of the following best describes your current employment status? Select all that apply.*,,MC,MAVR,TRUE,Y,multiselect,65437,100.0,110,9,"[""Employed, full-time"", ""Independent contractor, freelancer, or self-employed"", ""Student, full-time"", ""Employed, part-time"", ""Not employed, but looking for work"", ""Student, part-time"", ""Not employed, and not looking for work"", ""Retired"", ""I prefer not to say""]",
RemoteWork,RemoteWork,QID308,RemoteWork,exact,,Which best describes your current work situation?,,MC,SAVR,FALSE,N,categorical,54806,83.8,3,3,"[""Hybrid (some remote, some in-person)"", ""Remote"", ""In-person""]",
Check,(드롭됨),QID341,Check,exact,,Just checking to make sure you are paying attention to the survey questions. Select ‘Apples’ from the list and you can get back to the survey.*<br><br>,,MC,SAVR,TRUE,N,categorical,65437,100.0,1,1,"[""Apples""]","⚠️ 상수 컬럼(고유값 1개) — 정보량 0, 드롭 권장."
CodingActivities,CodingActivities,QID297,CodingActivities,exact,,Which of the following best describes the code you write outside of work? Select all that apply.,,MC,MAVR,FALSE,Y,multiselect,54466,83.2,118,8,"[""Hobby"", ""Professional development or self-paced learning from online courses"", ""Contribute to open-source projects"", ""Freelance/contract work"", ""Bootstrapping a business"", ""School or academic work"", ""I don’t code outside of work"", ""Other (please specify):""]",
EdLevel,EdLevel,QID25,EdLevel,exact,,Which of the following best describes the highest level of formal education that you’ve completed? *,,MC,SAVR,TRUE,N,categorical,60784,92.9,8,8,"[""Bachelor’s degree (B.A., B.S., B.Eng., etc.)"", ""Master’s degree (M.A., M.S., M.Eng., MBA, etc.)"", ""Some college/university study without earning a degree"", ""Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"", ""Professional degree (JD, MD, Ph.D, Ed.D, etc.)"", ""Associate degree (A.A., A.S., etc.)"", ""Primary/elementary school"", ""Something else""]",
LearnCode,LearnCode,QID276,LearnCode,exact,,How do you learn to code? Select all that apply.,,MC,MAVR,FALSE,Y,multiselect,60488,92.4,418,9,"[""Other online resources (e.g., videos, blogs, forum, online community)"", ""Books / Physical media"", ""Online Courses or Certification"", ""School (i.e., University, College, etc)"", ""On the job training"", ""Colleague"", ""Coding Bootcamp"", ""Friend or family member"", ""Other (please specify):""]",
LearnCodeOnline,LearnCodeOnline,QID281,LearnCodeOnline,exact,,What online resources do you use to learn to code? Select all that apply.,,MC,MAVR,FALSE,Y,multiselect,49237,75.2,10853,17,"[""Technical documentation"", ""Stack Overflow"", ""Written Tutorials"", ""Blogs"", ""How-to videos"", ""Video-based Online Courses"", ""Books"", ""Social Media"", ""AI"", ""Written-based Online Courses"", ""Interactive tutorial"", ""Online challenges (e.g., daily or weekly coding challenges)"", ""Coding sessions (live or recorded)"", ""Certification videos"", ""Auditory material (e.g., podcasts)"", ""Programming Games"", ""Other (Please specify):""]",
TechDoc,TechDoc,QID331,TechDoc,exact,,What is the source of the technical documentation you use most often to learn to code?  Select all that apply.,,MC,MAVR,FALSE,Y,multiselect,40897,62.5,113,7,"[""API document(s) and/or SDK document(s)"", ""User guides or README files found in the source repository"", ""Traditional public search engine"", ""First-party knowledge base"", ""AI-powered search/dev tool (free)"", ""AI-powered search/dev tool (paid)"", ""Other (please specify):""]",
YearsCode,YearsCode,QID32,YearsCode,exact,,"Including any education, how many years have you been coding in total?",,MC,DL,FALSE,N,numeric_with_sentinels,59869,91.5,52,52,"[""10"", ""5"", ""6"", ""8"", ""7"", ""4"", ""15"", ""20"", ""12"", ""3"", ""9"", ""14"", ""25"", ""2"", ""11"", ""13"", ""30"", ""16"", ""18"", ""17"", ""40"", ""24"", ""22"", ""35"", ""1"", ""23"", ""26"", ""Less than 1 year"", ""19"", ""21"", ""28"", ""27"", ""32"", ""34"", ""42"", ""38"", ""29"", ""45"", ""More than 50 years"", ""36"", ""33"", ""37"", ""44"", ""43"", ""41"", ""31"", ""39"", ""46"", ""50"", ""48"", ""47"", ""49""]",숫자 캐스팅 전 텍스트 처리 필요: Less than 1 year / More than 50 years
YearsCodePro,YearsCodePro,QID34,YearsCodePro,exact,,"NOT including education, how many years have you coded professionally (as a part of your work)?",,MC,DL,FALSE,N,numeric_with_sentinels,51610,78.9,52,52,"[""2"", ""3"", ""5"", ""10"", ""4"", ""Less than 1 year"", ""6"", ""1"", ""8"", ""7"", ""12"", ""15"", ""20"", ""9"", ""11"", ""13"", ""14"", ""25"", ""16"", ""18"", ""17"", ""30"", ""24"", ""19"", ""22"", ""23"", ""26"", ""27"", ""21"", ""28"", ""35"", ""29"", ""32"", ""40"", ""34"", ""38"", ""33"", ""36"", ""31"", ""37"", ""45"", ""42"", ""39"", ""41"", ""More than 50 years"", ""44"", ""43"", ""46"", ""48"", ""50"", ""49"", ""47""]",숫자 캐스팅 전 텍스트 처리 필요: Less than 1 year / More than 50 years
DevType,DevType,QID31,DevType,exact,,"Which of the following describes your current job, the one you do most of the time? Please select only one.",,MC,SAVR,FALSE,N,categorical,59445,90.8,34,34,"[""Developer, full-stack"", ""Developer, back-end"", ""Student"", ""Developer, front-end"", ""Developer, desktop or enterprise applications"", ""Other (please specify):"", ""Developer, mobile"", ""Developer, embedded applications or devices"", ""Engineering manager"", ""Academic researcher"", ""Data engineer"", ""Data scientist or machine learning specialist"", ""DevOps specialist"", ""Research & Development role"", ""Senior Executive (C-Suite, VP, etc.)"", ""Developer, game or graphics"", ""Cloud infrastructure engineer"", ""System administrator"", ""Developer, AI"", ""Developer, QA or test"", ""Data or business analyst"", ""Project manager"", ""Security professional"", ""Educator"", ""Scientist"", ""Engineer, site reliability"", ""Product manager"", ""Blockchain"", ""Developer Experience"", ""Hardware Engineer"", ""Designer"", ""Database administrator"", ""Developer Advocate"", ""Marketing or sales professional""]",
OrgSize,OrgSize,QID29,OrgSize,exact,,"Approximately how many people are employed by the company or organization you currently work for?  This should only include your primary company, and not the entire holding or parent company if that applies.",,MC,SAVR,FALSE,N,categorical,47480,72.6,10,10,"[""20 to 99 employees"", ""100 to 499 employees"", ""10,000 or more employees"", ""1,000 to 4,999 employees"", ""2 to 9 employees"", ""10 to 19 employees"", ""500 to 999 employees"", ""Just me - I am a freelancer, sole proprietor, etc."", ""5,000 to 9,999 employees"", ""I don’t know""]",
PurchaseInfluence,PurchaseInfluence,QID278,PurchaseInfluence,exact,,"What level of influence do you, personally, have over new technology purchases at your organization?",,MC,SAVR,FALSE,N,categorical,47406,72.4,3,3,"[""I have some influence"", ""I have little or no influence"", ""I have a great deal of influence""]",
BuyNewTool,BuyNewTool,QID279,BuyNewTool,exact,,"When buying a new tool or software, how do you discover and research available solutions? Select all that apply.",,MC,MAVR,FALSE,Y,multiselect,45181,69.0,215,8,"[""Start a free trial"", ""Ask developers I know/work with"", ""Visit developer communities like Stack Overflow"", ""Read ratings or reviews on third party sites like G2 Crowd"", ""Ask a generative AI tool"", ""Research companies that have advertised on sites I visit"", ""Other (please specify):"", ""Research companies that have emailed me""]",
BuildvsBuy,BuildvsBuy,QID330,BuildvsBuy,exact,,"When asked to provide a recommendation for solving a problem at work with a new tool or software, what has been your most recent choice of the following?",,MC,SAVR,FALSE,N,categorical,43358,66.3,3,3,"[""Is ready-to-go but also customizable for growth and targeted use cases"", ""Is set up to be customized and needs to be engineered into a usable product"", ""Out-of-the-box is ready to go with little need for customization""]",
TechEndorse,TechEndorse,QID335,TechEndorse,exact,,What product feature do you care about most when endorsing a technology purchase? Select all that apply.,,MC,MAVR,FALSE,Y,multiselect,43668,66.7,386,9,"[""APIs"", ""Reputation for quality and excellence"", ""Customization"", ""Connected to an open source project"", ""Integrated developer community"", ""Frequent updates to features"", ""Quality support system"", ""AI tool integration"", ""Other:""]",
Country,Country,QID6,Country,exact,,"Where do you live? <span style=""font-weight: bolder;"">*</span>",,MC,DL,TRUE,N,categorical,58930,90.1,185,185,"[""United States of America"", ""Germany"", ""India"", ""United Kingdom of Great Britain and Northern Ireland"", ""Ukraine"", ""France"", ""Canada"", ""Poland"", ""Netherlands"", ""Brazil"", ""Italy"", ""Australia"", ""Spain"", ""Sweden"", ""Russian Federation"", ""Switzerland"", ""Austria"", ""Czech Republic"", ""Israel"", ""Turkey"", ""Belgium"", ""Denmark"", ""Portugal"", ""Norway"", ""Romania"", ""Pakistan"", ""Iran, Islamic Republic of..."", ""China"", ""Mexico"", ""New Zealand"", ""Hungary"", ""Greece"", ""Finland"", ""South Africa"", ""Indonesia"", ""Argentina"", ""Bangladesh"", ""Bulgaria"", ""Nigeria"", ""Viet Nam"", ""Japan"", ""Ireland"", ""Taiwan"", ""Egypt"", ""Slovakia"", ""Serbia"", ""Colombia"", ""Philippines"", ""Croatia"", ""Lithuania"", ""Kenya"", ""Singapore"", ""Sri Lanka"", ""Malaysia"", ""Thailand"", ""South Korea"", ""Hong Kong (S.A.R.)"", ""Slovenia"", ""Nepal"", ""Chile"", ""United Arab Emirates"", ""Latvia"", ""Estonia"", ""Morocco"", ""Belarus"", ""Georgia"", ""Uruguay"", ""Kazakhstan"", ""Algeria"", ""Peru"", ""Tunisia"", ""Ghana"", ""Venezuela, Bolivarian Republic of..."", ""Cyprus"", ""Uzbekistan"", ""Bosnia and Herzegovina"", ""Ethiopia"", ""Armenia"", ""Republic of Korea"", ""Saudi Arabia"", ""Afghanistan"", ""Costa Rica"", ""Ecuador"", ""Albania"", ""Dominican Republic"", ""Lebanon"", ""Kyrgyzstan"", ""Iraq"", ""Nomadic"", ""Guatemala"", ""Jordan"", ""Luxembourg"", ""Uganda"", ""Paraguay"", ""Republic of Moldova"", ""Republic of North Macedonia"", ""Bolivia"", ""Iceland"", ""Cameroon"", ""Syrian Arab Republic"", ""Malta"", ""United Republic of Tanzania"", ""Azerbaijan"", ""Montenegro"", ""Zimbabwe"", ""Cuba"", ""Cambodia"", ""Rwanda"", ""Myanmar"", ""Nicaragua"", ""Angola"", ""El Salvador"", ""Kosovo"", ""Panama"", ""Yemen"", ""Honduras"", ""Maldives"", ""Palestine"", ""Mauritius"", ""Andorra"", ""Qatar"", ""Zambia"", ""Madagascar"", ""Côte d'Ivoire"", ""Isle of Man"", ""Malawi"", ""Turkmenistan"", ""Benin"", ""Bahrain"", ""Jamaica"", ""Mongolia"", ""Somalia"", ""Senegal"", ""Togo"", ""Trinidad and Tobago"", ""Congo, Republic of the..."", ""Oman"", ""Kuwait"", ""Tajikistan"", ""Sudan"", ""Mozambique"", ""Barbados"", ""Namibia"", ""Mauritania"", ""Suriname"", ""Cape Verde"", ""Botswana"", ""Antigua and Barbuda"", ""Fiji"", ""Lao People's Democratic Republic"", ""Gabon"", ""Swaziland"", ""Bahamas"", ""Liechtenstein"", ""Burkina Faso"", ""Liberia"", ""Libyan Arab Jamahiriya"", ""Bhutan"", ""Monaco"", ""North Korea"", ""Sierra Leone"", ""Democratic Republic of the Congo"", ""Burundi"", ""Brunei Darussalam"", ""Guyana"", ""San Marino"", ""Guinea-Bissau"", ""Democratic People's Republic of Korea"", ""Mali"", ""Belize"", ""Dominica"", ""Chad"", ""Equatorial Guinea"", ""Papua New Guinea"", ""Central African Republic"", ""Niger"", ""Haiti"", ""Solomon Islands"", ""Lesotho"", ""Saint Kitts and Nevis"", ""Micronesia, Federated States of..."", ""Nauru"", ""Samoa"", ""Guinea"", ""Djibouti""]",
